LOCATION,Year,Imports
LVA,2013,64.7626819804466
LVA,2014,64.0761740067067
LVA,2015,61.9771565553587
LVA,2016,59.2577312874961
LVA,2017,62.219461865291
LVA,2018,62.1234198668595
LVA,2019,60.473860563268
LVA,2020,58.931720739175
LVA,2021,67.1112913496981
LVA,2022,76.1564502897118
COL,2010,17.923758408999
COL,2011,20.1939184812196
COL,2012,20.0239457350035
COL,2013,19.9002090764088
COL,2014,20.8527165314594
COL,2015,22.7105526089485
COL,2016,21.4855137060045
COL,2017,20.1376251940583
COL,2018,20.6350331193542
COL,2019,21.6904953267149
COL,2020,20.599313249317
COL,2021,23.9172688594366
CRI,2010,34.6826783371688
CRI,2011,36.1666756303798
CRI,2012,35.3972219592716
CRI,2013,33.4747612266162
CRI,2014,33.8283267697315
CRI,2015,30.7579040748303
CRI,2016,30.9183818762553
CRI,2017,32.3092705957887
CRI,2018,33.2068312404204
CRI,2019,31.4352084583202
CRI,2020,28.2333885931435
CRI,2021,35.11850526856
CRI,2022,38.8584306068959
LTU,2010,65.9450250643355
LTU,2011,75.566210466998
LTU,2012,77.6165342473285
LTU,2013,77.2182186328882
LTU,2014,70.4512167317466
LTU,2015,69.7746760824041
LTU,2016,66.8664747535935
LTU,2017,71.2781912344814
LTU,2018,73.3893753195792
LTU,2019,71.9950357134122
LTU,2020,63.8707214593456
LTU,2021,76.0074768389447
LTU,2022,89.5426505992415
OAVG,2010,26.7686738796575
OAVG,2011,29.0911066654766
OAVG,2012,29.0205496360533
OAVG,2013,28.6599073598187
OAVG,2014,28.787822209035
OAVG,2015,28.232933693287
OAVG,2016,27.7837160959659
OAVG,2017,28.9916394458509
OAVG,2018,29.8269791670746
OAVG,2019,29.5350909994542
OAVG,2020,27.2963077622887
OAVG,2021,29.8799468182497
